path_id,timestamp,goal_x,goal_y,type,point_index,x,y
1,2026-04-07 10:05:04,-0.041249315459271685,-0.14999988228082728,global,0,-1.4699999471008773,1.9000001482665532
1,2026-04-07 10:05:04,-0.041249315459271685,-0.14999988228082728,global,1,-1.5157057430700327,1.9038072161943767
1,2026-04-07 10:05:04,-0.041249315459271685,-0.14999988228082728,global,2,-1.540582528719046,1.9013307146926302
1,2026-04-07 10:05:04,-0.041249315459271685,-0.14999988228082728,global,3,-1.5654303226684085,1.8985742144074145
1,2026-04-07 10:05:04,-0.041249315459271685,-0.14999988228082728,global,4,-1.5900908149792379,1.8944696000884385
1,2026-04-07 10:05:04,-0.041249315459271685,-0.14999988228082728,global,5,-1.614162318023478,1.8877191117065983
1,2026-04-07 10:05:04,-0.041249315459271685,-0.14999988228082728,global,6,-1.6370497390188241,1.877661280746178
1,2026-04-07 10:05:04,-0.041249315459271685,-0.14999988228082728,global,7,-1.6585341143389662,1.864877467079122
1,2026-04-07 10:05:04,-0.041249315459271685,-0.14999988228082728,global,8,-1.6780577352353596,1.8492623850593297
1,2026-04-07 10:05:04,-0.041249315459271685,-0.14999988228082728,global,9,-1.695284908343627,1.8311456245354627
1,2026-04-07 10:05:04,-0.041249315459271685,-0.14999988228082728,global,10,-1.7122465785182506,1.8127801457461707
1,2026-04-07 10:05:04,-0.041249315459271685,-0.14999988228082728,global,11,-1.7286524472929905,1.7939157045471
1,2026-04-07 10:05:04,-0.041249315459271685,-0.14999988228082728,global,12,-1.742547863759814,1.773133233534292
1,2026-04-07 10:05:04,-0.041249315459271685,-0.14999988228082728,global,13,-1.7563841524181392,1.7523110896693304
1,2026-04-07 10:05:04,-0.041249315459271685,-0.14999988228082728,global,14,-1.769301861961214,1.73090682299296
1,2026-04-07 10:05:04,-0.041249315459271685,-0.14999988228082728,global,15,-1.779397839894859,1.708036186665833
1,2026-04-07 10:05:04,-0.041249315459271685,-0.14999988228082728,global,16,-1.7867491431049878,1.6841416855773552
1,2026-04-07 10:05:04,-0.041249315459271685,-0.14999988228082728,global,17,-1.7898352332388647,1.6593324200709496
1,2026-04-07 10:05:04,-0.041249315459271685,-0.14999988228082728,global,18,-1.7927389808407277,1.6345017922595382
1,2026-04-07 10:05:04,-0.041249315459271685,-0.14999988228082728,global,19,-1.8003927895485283,1.6107026586041222
1,2026-04-07 10:05:04,-0.041249315459271685,-0.14999988228082728,global,20,-1.811758680220823,1.5884355073934096
1,2026-04-07 10:05:04,-0.041249315459271685,-0.14999988228082728,global,21,-1.8221991253226868,1.5657197477775746
1,2026-04-07 10:05:04,-0.041249315459271685,-0.14999988228082728,global,22,-1.8296414090639566,1.5418534754492832
1,2026-04-07 10:05:04,-0.041249315459271685,-0.14999988228082728,global,23,-1.8349913313238524,1.5174325461303049
1,2026-04-07 10:05:04,-0.041249315459271685,-0.14999988228082728,global,24,-1.8389120772318854,1.4927415362408958
